date_block_num,shop_id,item_id,product_cnt,transactions,monthly_sales
33,2,2422,2,2,1
33,2,15989,1,1,1
33,3,2047,9,2,11
33,3,16038,1,1,1
33,4,3624,1,1,1
33,4,10131,1,1,1
33,4,18456,5,5,1
33,5,5637,1,1,1
33,5,10707,1,1,2
33,5,20377,1,1,1
33,6,1496,1,1,1
33,6,2594,1,1,1
33,6,4840,3,3,32
33,6,16287,1,1,4
33,6,21427,1,1,1
33,6,22013,1,1,1
33,7,10381,1,1,1
33,10,18201,1,1,1
33,12,544,2,2,1
33,12,10216,1,1,1
33,12,14552,1,1,1
33,14,17897,1,1,1
33,15,2293,1,1,2
33,15,6252,1,1,1
33,15,6695,1,1,1
33,15,8658,1,1,1
33,15,11400,1,1,1
33,16,21358,2,2,1
33,18,2859,4,1,1
33,18,20405,1,1,1
33,19,4554,1,1,2
33,19,9355,8,6,1
33,19,16117,1,1,1
33,21,15785,1,1,3
33,21,17320,1,1,1
33,22,1813,1,1,13
33,22,5823,4,3,9
33,22,20041,1,1,1
33,24,3140,1,1,1
33,24,4719,4,4,26
33,24,6847,1,1,1
33,24,13869,2,2,1
33,24,21562,1,1,1
33,25,4014,2,2,1
33,25,5654,1,1,1
33,25,6308,2,2,1
33,25,8862,2,2,2
33,25,9054,1,1,1
33,25,9413,1,1,1
33,25,10336,2,2,4
33,25,14229,2,2,1
33,25,14295,1,1,1
33,25,14575,2,2,1
33,25,16205,3,3,1
33,26,2788,1,1,1
33,26,3243,2,2,1
33,28,2808,3,2,1
33,28,4944,1,1,2
33,28,7173,1,1,2
33,28,9401,1,1,2
33,28,11404,2,2,1
33,28,11913,3,3,2
33,28,12552,2,2,2
33,28,13457,3,3,2
33,28,15240,1,1,2
33,28,15493,3,3,1
33,28,17568,1,1,1
33,31,1325,3,3,1
33,31,1788,1,1,1
33,31,2760,1,1,1
33,31,4085,5,5,6
33,31,6740,1,1,1
33,31,7809,1,1,2
33,31,8819,1,1,1
33,31,15821,1,1,2
33,31,18375,5,5,1
33,34,2799,2,2,2
33,35,8452,1,1,3
33,37,6285,1,1,1
33,37,10216,2,2,1
33,38,20360,1,1,1
33,39,9402,2,2,1
33,39,16167,1,1,2
33,39,19794,1,1,2
33,41,5828,2,2,1
33,41,11354,1,1,6
33,42,1963,1,1,1
33,42,2283,2,2,1
33,42,3943,1,1,1
33,42,9334,1,1,1
33,42,10340,1,1,1
33,42,11829,1,1,1
33,42,13246,9,8,18
33,42,18361,1,1,1
33,42,19051,1,1,2
33,42,20604,2,2,2
33,44,13246,2,2,1
33,45,20286,1,1,1
33,46,7452,1,1,1
33,46,19406,1,1,1
33,47,13718,1,1,3
33,48,1389,1,1,2
33,48,2269,1,1,1
33,48,2431,3,3,2
33,48,15047,1,1,2
33,48,20616,1,1,1
33,49,6023,2,2,1
33,49,12116,1,1,1
33,50,14393,1,1,1
33,50,17717,7,4,4
33,50,19650,2,2,1
33,50,19884,1,1,1
33,52,2863,1,1,1
33,52,5039,1,1,3
33,52,15069,7,7,3
33,52,20626,1,1,1
33,53,2283,1,1,1
33,53,8457,1,1,1
33,53,14678,1,1,1
33,55,2987,2,2,1
33,55,4765,2,2,1
33,55,7910,1,1,1
33,56,2600,1,1,1
33,56,7270,1,1,1
33,57,91,1,1,1
33,57,4679,1,1,2
33,57,11132,2,2,2
33,57,12536,1,1,1
33,57,15698,1,1,2
33,57,16315,1,1,1
33,57,21427,2,2,3
33,58,32,1,1,1
33,58,7220,1,1,1
33,58,12709,1,1,1
33,58,15239,2,2,1
33,58,18479,5,4,4
33,59,14840,3,2,1
33,59,15255,1,1,5
33,2,2286,2,2,1
33,2,4351,3,3,1
33,2,13122,1,1,3
33,3,6713,1,1,1
33,3,13706,1,1,1
33,4,7172,1,1,3
33,5,14229,7,6,4
33,6,2369,1,1,2
33,6,9410,1,1,1
33,6,10515,1,1,1
33,6,19430,2,2,1
33,6,20730,1,1,1
33,7,4892,1,1,1
33,7,5820,1,1,3
33,7,9985,2,2,2
33,10,4843,1,1,1
33,10,15040,1,1,1
33,12,3558,1,1,6
33,14,15446,1,1,1
33,14,18479,1,1,1
